,,,,,,,,,,,,,,
Disclaimers
• This is an analytics report and currently we support downloading top 8000 listings by sold quantity.
• This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.
• Any fees charged or credits applied to these listings outside this time range are not included in this report.
• You had $43.90 of account level fees during this time period. Here is the breakdown of these fees.
Subscription fees = $43.90
"• For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item."

"Report for Mar 1, 2025 to Apr 30, 2025"
Listing title,eBay item ID,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT40,306148069239,1,$8.80,$7.00,$0.00,$0.55,$1.25,$1.97,$0.00,$0.00,$1.28,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.69,$6.28,$8.80,0,0,0
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT14,306148069240,1,$5.77,$4.25,$0.00,$0.27,$1.25,$1.57,$0.00,$0.00,$0.94,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.63,$3.93,$5.77,0,0,0
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT13,306148069241,1,$8.14,$6.50,$0.00,$0.39,$1.25,$1.83,$0.00,$0.00,$1.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.63,$5.92,$8.14,0,0,0
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT9,306148069242,1,$8.39,$6.50,$0.00,$0.64,$1.25,$1.76,$0.00,$0.00,$1.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.63,$5.99,$8.39,0,0,0
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT42,306148069243,1,$8.39,$6.50,$0.00,$0.64,$1.25,$1.80,$0.00,$0.00,$1.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.67,$5.95,$8.39,0,0,0
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT36,306148069244,1,$9.47,$7.50,$0.00,$0.72,$1.25,$1.92,$0.00,$0.00,$1.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.67,$6.83,$9.47,0,0,0
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT33,306148069245,1,$8.16,$6.50,$0.00,$0.41,$1.25,$2.18,$0.00,$0.00,$1.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.97,$5.57,$8.16,0,0,0
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT10,306148069246,1,$6.66,$5.00,$0.00,$0.41,$1.25,$2.01,$0.00,$0.00,$1.04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.97,$4.24,$6.66,0,0,0
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT16,306148069247,1,$9.38,$7.50,$0.00,$0.63,$1.25,$2.31,$0.00,$0.00,$1.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.97,$6.44,$9.38,0,0,0
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT22,306148069249,1,$5.62,$4.00,$0.00,$0.37,$1.25,$1.89,$0.00,$0.00,$0.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.97,$3.36,$5.62,0,0,0
